uid,latitude,longitude,empty_slots,free_bikes,ll
8,19.359583,-99.162085,31,0,"19.359583,-99.162085"
163,19.441123,-99.195857,20,3,"19.441123,-99.195857"
119,19.4267528,-99.16861944,19,11,"19.4267528,-99.16861944"
258,19.41299,-99.171675,18,17,"19.41299,-99.171675"
120,19.427338,-99.16672,8,19,"19.427338,-99.16672"
122,19.429453,-99.16283,17,13,"19.429453,-99.16283"
123,19.429804,-99.169451,15,8,"19.429804,-99.169451"
124,19.42491,-99.172455,38,5,"19.42491,-99.172455"
126,19.438197,-99.165918,8,19,"19.438197,-99.165918"
129,19.437118,-99.161862,24,11,"19.437118,-99.161862"
269,19.434962,-99.133729,6,5,"19.434962,-99.133729"
58,19.370615,-99.181606,12,19,"19.370615,-99.181606"
55,19.365125,-99.155477,15,8,"19.365125,-99.155477"
57,19.384447,-99.172039,18,4,"19.384447,-99.172039"
56,19.369823,-99.172164,33,2,"19.369823,-99.172164"
51,19.370221,-99.173862,25,2,"19.370221,-99.173862"
50,19.363049,-99.158436,15,4,"19.363049,-99.158436"
53,19.380087,-99.16427,18,5,"19.380087,-99.16427"
52,19.361245,-99.16239,34,1,"19.361245,-99.16239"
191,19.438616,-99.207577,19,0,"19.438616,-99.207577"
89,19.41689,-99.17562,34,5,"19.41689,-99.17562"
111,19.436522,-99.139811,0,19,"19.436522,-99.139811"
113,19.43163,-99.158547,24,7,"19.43163,-99.158547"
112,19.433757,-99.135331,9,6,"19.433757,-99.135331"
82,19.412982,-99.166936,10,17,"19.412982,-99.166936"
83,19.417102,-99.165607,21,14,"19.417102,-99.165607"
80,19.420627,-99.16821,18,5,"19.420627,-99.16821"
81,19.4086886,-99.169938,5,14,"19.4086886,-99.169938"
86,19.407927,-99.168734,15,12,"19.407927,-99.168734"
87,19.407479,-99.174403,17,14,"19.407479,-99.174403"
84,19.411361,-99.171271,13,22,"19.411361,-99.171271"
85,19.40655,-99.172275,4,11,"19.40655,-99.172275"
251,19.436931,-99.133952,19,12,"19.436931,-99.133952"
257,19.41966,-99.17588,11,20,"19.41966,-99.17588"
7,19.364912,-99.162968,18,1,"19.364912,-99.162968"
241,19.438228,-99.152269,14,17,"19.438228,-99.152269"
240,19.433431,-99.155142,16,11,"19.433431,-99.155142"
243,19.436764,-99.153865,8,7,"19.436764,-99.153865"
242,19.44021597,-99.1561678,18,17,"19.44021597,-99.1561678"
103,19.429947,-99.14591,10,17,"19.429947,-99.14591"
101,19.428214,-99.139494,11,4,"19.428214,-99.139494"
106,19.434944,-99.150295,9,26,"19.434944,-99.150295"
107,19.425126,-99.143391,25,10,"19.425126,-99.143391"
39,19.38542,-99.17823,18,1,"19.38542,-99.17823"
38,19.375865,-99.185573,16,7,"19.375865,-99.185573"
32,19.377966,-99.170272,8,11,"19.377966,-99.170272"
31,19.396359,-99.183579,11,4,"19.396359,-99.183579"
37,19.376918,-99.16108,22,9,"19.376918,-99.16108"
36,19.364916,-99.175985,19,0,"19.364916,-99.175985"
35,19.375865,-99.168219,24,7,"19.375865,-99.168219"
34,19.362037,-99.172683,4,15,"19.362037,-99.172683"
246,19.441114,-99.161636,22,9,"19.441114,-99.161636"
252,19.429332,-99.202181,13,6,"19.429332,-99.202181"
223,19.410036,-99.187978,17,2,"19.410036,-99.187978"
176,19.424187,-99.166497,1,14,"19.424187,-99.166497"
60,19.380691,-99.175036,25,2,"19.380691,-99.175036"
61,19.373307,-99.172471,33,2,"19.373307,-99.172471"
63,19.385632,-99.180848,19,0,"19.385632,-99.180848"
65,19.393643,-99.178156,31,0,"19.393643,-99.178156"
67,19.388178,-99.169689,22,1,"19.388178,-99.169689"
173,19.4226672,-99.1699751,32,3,"19.4226672,-99.1699751"
171,19.427937,-99.161245,26,13,"19.427937,-99.161245"
222,19.394092,-99.162139,19,0,"19.394092,-99.162139"
182,19.399763,-99.177538,18,1,"19.399763,-99.177538"
180,19.4204398,-99.1727208,30,5,"19.4204398,-99.1727208"
181,19.406959,-99.163021,15,4,"19.406959,-99.163021"
184,19.426384,-99.164255,23,8,"19.426384,-99.164255"
6,19.363404,-99.160395,27,0,"19.363404,-99.160395"
186,19.415358,-99.171902,23,4,"19.415358,-99.171902"
221,19.411711,-99.190139,14,5,"19.411711,-99.190139"
185,19.414968,-99.174766,10,1,"19.414968,-99.174766"
98,19.424197,-99.156127,29,6,"19.424197,-99.156127"
169,19.409894,-99.164288,18,13,"19.409894,-99.164288"
229,19.404733,-99.174461,22,5,"19.404733,-99.174461"
228,19.433705,-99.146665,9,2,"19.433705,-99.146665"
91,19.422379,-99.164137,20,2,"19.422379,-99.164137"
90,19.411825,-99.178456,22,5,"19.411825,-99.178456"
93,19.41919,-99.169764,36,3,"19.41919,-99.169764"
92,19.4148233,-99.1783527,15,0,"19.4148233,-99.1783527"
95,19.414119,-99.177214,39,0,"19.414119,-99.177214"
94,19.418879,-99.176854,10,17,"19.418879,-99.176854"
97,19.41128,-99.169825,25,10,"19.41128,-99.169825"
11,19.37099,-99.176135,26,1,"19.37099,-99.176135"
10,19.36473,-99.174447,21,2,"19.36473,-99.174447"
220,19.386212,-99.160583,22,1,"19.386212,-99.160583"
12,19.373198,-99.184274,23,4,"19.373198,-99.184274"
14,19.424784,-99.172119,32,3,"19.424784,-99.172119"
17,19.376997,-99.158779,2,21,"19.376997,-99.158779"
16,19.3705556,-99.1566667,23,4,"19.3705556,-99.1566667"
18,19.372474,-99.171639,24,11,"19.372474,-99.171639"
117,19.437569,-99.15468,19,8,"19.437569,-99.15468"
250,19.433344,-99.14404,8,3,"19.433344,-99.14404"
204,19.434361,-99.206342,24,3,"19.434361,-99.206342"
157,19.416596,-99.156879,19,0,"19.416596,-99.156879"
234,19.43542,-99.150317,12,3,"19.43542,-99.150317"
238,19.426785,-99.155535,15,0,"19.426785,-99.155535"
279,19.42916,-99.162703,37,6,"19.42916,-99.162703"
236,19.43726,-99.179624,21,10,"19.43726,-99.179624"
237,19.437128,-99.158363,6,1,"19.437128,-99.158363"
49,19.358934,-99.156064,12,33,"19.358934,-99.156064"
46,19.378827,-99.176944,28,3,"19.378827,-99.176944"
47,19.381714,-99.176664,22,1,"19.381714,-99.176664"
44,19.373161,-99.178243,21,2,"19.373161,-99.178243"
42,19.374267,-99.180546,16,2,"19.374267,-99.180546"
43,19.379593,-99.181351,19,0,"19.379593,-99.181351"
40,19.373112,-99.166981,29,2,"19.373112,-99.166981"
41,19.38213,-99.178814,23,0,"19.38213,-99.178814"
5,19.367209,-99.15872,12,7,"19.367209,-99.15872"
9,19.367816,-99.175269,22,1,"19.367816,-99.175269"
146,19.412776,-99.182805,11,16,"19.412776,-99.182805"
145,19.409577,-99.183818,24,7,"19.409577,-99.183818"
142,19.4306227,-99.1712307,19,4,"19.4306227,-99.1712307"
141,19.443684,-99.152465,32,23,"19.443684,-99.152465"
209,19.397923,-99.167248,9,10,"19.397923,-99.167248"
77,19.382889,-99.158352,22,9,"19.382889,-99.158352"
74,19.383904,-99.160875,13,2,"19.383904,-99.160875"
73,19.411703,-99.175753,12,11,"19.411703,-99.175753"
72,19.409859,-99.179565,23,8,"19.409859,-99.179565"
71,19.415237,-99.16659,13,22,"19.415237,-99.16659"
70,19.387342,-99.165629,18,1,"19.387342,-99.165629"
79,19.410468,-99.172802,5,30,"19.410468,-99.172802"
78,19.3932287,-99.1684308,14,9,"19.3932287,-99.1684308"
263,19.427553,-99.167396,6,21,"19.427553,-99.167396"
262,19.408676,-99.176759,12,3,"19.408676,-99.176759"
260,19.430907,-99.160148,19,3,"19.430907,-99.160148"
281,19.429261,-99.17538,15,0,"19.429261,-99.17538"
282,19.427132,-99.160369,9,22,"19.427132,-99.160369"
261,19.425597,-99.171409,22,1,"19.425597,-99.171409"
283,19.428949,-99.179796,16,7,"19.428949,-99.179796"
285,19.431255,-99.188065,13,2,"19.431255,-99.188065"
284,19.432888,-99.183605,10,21,"19.432888,-99.183605"
286,19.43384,-99.19968,20,3,"19.43384,-99.19968"
289,19.41955,-99.166214,15,0,"19.41955,-99.166214"
288,19.438551,-99.206298,14,1,"19.438551,-99.206298"
287,19.436064,-99.198898,16,3,"19.436064,-99.198898"
290,19.4165298,-99.1790435,14,1,"19.4165298,-99.1790435"
